Date,Year,Month,Day,Heathrow
2000-03-15,2000,03,15,25.8
2000-03-16,2000,03,16,28
2000-03-17,2000,03,17,32
2000-03-18,2000,03,18,26.1
2000-03-19,2000,03,19,33.3
2000-03-20,2000,03,20,47.8
2000-03-21,2000,03,21,38.5
2000-03-22,2000,03,22,44.7
2000-03-23,2000,03,23,46.9
2000-03-24,2000,03,24,17.8
2000-03-25,2000,03,25,6.9
2000-03-26,2000,03,26,13.6
2000-03-27,2000,03,27,12.6
2000-03-28,2000,03,28,16.5
2000-03-29,2000,03,29,28
2000-03-30,2000,03,30,31.6
2000-03-31,2000,03,31,24.8
2000-04-01,2000,04,01,13.4
2000-04-02,2000,04,02,13.3
2000-04-03,2000,04,03,10.7
2000-04-04,2000,04,04,6.9
2000-04-05,2000,04,05,13.5
2000-04-06,2000,04,06,21.2
2000-04-07,2000,04,07,25.2
2000-04-08,2000,04,08,39.1
2000-04-09,2000,04,09,24.3
2000-04-10,2000,04,10,23.4
2000-04-11,2000,04,11,14.1
2000-04-12,2000,04,12,10.5
2000-04-13,2000,04,13,17
2000-04-14,2000,04,14,25.3
2000-04-15,2000,04,15,12.4
2000-04-16,2000,04,16,17.5
2000-04-17,2000,04,17,14.5
2000-04-18,2000,04,18,15.4
2000-04-19,2000,04,19,13.2
2000-04-20,2000,04,20,14.7
2000-04-21,2000,04,21,22.7
2000-04-22,2000,04,22,16.1
2000-04-23,2000,04,23,17.5
2000-04-24,2000,04,24,14.2
2000-04-25,2000,04,25,12.8
2000-04-26,2000,04,26,11.5
2000-04-27,2000,04,27,12.9
2000-04-28,2000,04,28,32.8
2000-04-29,2000,04,29,11.5
2000-04-30,2000,04,30,22.9
2000-05-01,2000,05,01,19.2
2000-05-02,2000,05,02,18.7
2000-05-03,2000,05,03,11.5
2000-05-04,2000,05,04,23.3
2000-05-05,2000,05,05,32.1
2000-05-06,2000,05,06,49.2
2000-05-07,2000,05,07,42.4
2000-05-08,2000,05,08,42.5
2000-05-09,2000,05,09,50
2000-05-10,2000,05,10,NA
2000-05-11,2000,05,11,NA
2000-05-12,2000,05,12,NA
2000-05-13,2000,05,13,NA
2000-05-14,2000,05,14,NA
2000-05-15,2000,05,15,NA
2000-05-16,2000,05,16,18.4
2000-05-17,2000,05,17,16.3
2000-05-18,2000,05,18,12.5
2000-05-19,2000,05,19,15.6
2000-05-20,2000,05,20,17.8
2000-05-21,2000,05,21,13.9
2000-05-22,2000,05,22,19.6
2000-05-23,2000,05,23,12.6
2000-05-24,2000,05,24,17.2
2000-05-25,2000,05,25,15.8
2000-05-26,2000,05,26,18.8
2000-05-27,2000,05,27,10.8
2000-05-28,2000,05,28,10.1
2000-05-29,2000,05,29,11.9
2000-05-30,2000,05,30,20.4
2000-05-31,2000,05,31,24.5
2000-06-01,2000,06,01,17.7
2000-06-02,2000,06,02,15.1
2000-06-03,2000,06,03,17.4
2000-06-04,2000,06,04,11.3
2000-06-05,2000,06,05,32.6
2000-06-06,2000,06,06,23.7
2000-06-07,2000,06,07,20.6
2000-06-08,2000,06,08,24.6
2000-06-09,2000,06,09,29.1
2000-06-10,2000,06,10,14.2
2000-06-11,2000,06,11,14.9
2000-06-12,2000,06,12,19.8
2000-06-13,2000,06,13,9.3
2000-06-14,2000,06,14,13.8
2000-06-15,2000,06,15,18.4
2000-06-16,2000,06,16,31.1
2000-06-17,2000,06,17,28.8
2000-06-18,2000,06,18,21
2000-06-19,2000,06,19,NA
2000-06-20,2000,06,20,35.8
2000-06-21,2000,06,21,19
2000-06-22,2000,06,22,20.8
2000-06-23,2000,06,23,17.8
2000-06-24,2000,06,24,13.9
2000-06-25,2000,06,25,22.7
2000-06-26,2000,06,26,25.6
2000-06-27,2000,06,27,32.1
2000-06-28,2000,06,28,51
2000-06-29,2000,06,29,44.5
2000-06-30,2000,06,30,32.4
2000-07-01,2000,07,01,26.2
2000-07-02,2000,07,02,20
2000-07-03,2000,07,03,22
2000-07-04,2000,07,04,38.7
2000-07-05,2000,07,05,22.7
2000-07-06,2000,07,06,20.4
2000-07-07,2000,07,07,23.3
2000-07-08,2000,07,08,12.4
2000-07-09,2000,07,09,9.1
2000-07-10,2000,07,10,13.3
2000-07-11,2000,07,11,21.3
2000-07-12,2000,07,12,20.4
2000-07-13,2000,07,13,16
2000-07-14,2000,07,14,16.8
2000-07-15,2000,07,15,17.3
2000-07-16,2000,07,16,20.8
2000-07-17,2000,07,17,35.4
2000-07-18,2000,07,18,37.2
2000-07-19,2000,07,19,32.9
2000-07-20,2000,07,20,29.5
2000-07-21,2000,07,21,38.4
2000-07-22,2000,07,22,18.7
2000-07-23,2000,07,23,15.4
2000-07-24,2000,07,24,13.1
2000-07-25,2000,07,25,28.6
2000-07-26,2000,07,26,32.8
2000-07-27,2000,07,27,26.1
2000-07-28,2000,07,28,19.7
2000-07-29,2000,07,29,17.1
2000-07-30,2000,07,30,19.1
2000-07-31,2000,07,31,14.5
2000-08-01,2000,08,01,17.1
2000-08-02,2000,08,02,19.6
2000-08-03,2000,08,03,20.3
2000-08-04,2000,08,04,28.9
2000-08-05,2000,08,05,23.7
2000-08-06,2000,08,06,17.7
2000-08-07,2000,08,07,18.1
2000-08-08,2000,08,08,19.1
2000-08-09,2000,08,09,15.9
2000-08-10,2000,08,10,17.6
2000-08-11,2000,08,11,29.1
2000-08-12,2000,08,12,22.8
2000-08-13,2000,08,13,17.3
2000-08-14,2000,08,14,16.9
2000-08-15,2000,08,15,13.7
2000-08-16,2000,08,16,13.5
2000-08-17,2000,08,17,16.6
2000-08-18,2000,08,18,18.7
2000-08-19,2000,08,19,13
2000-08-20,2000,08,20,18.7
2000-08-21,2000,08,21,15.2
2000-08-22,2000,08,22,18.7
2000-08-23,2000,08,23,29.2
2000-08-24,2000,08,24,40.6
2000-08-25,2000,08,25,39.5
2000-08-26,2000,08,26,31.9
2000-08-27,2000,08,27,16.7
2000-08-28,2000,08,28,12.7
2000-08-29,2000,08,29,27.3
2000-08-30,2000,08,30,19.5
2000-08-31,2000,08,31,21.9
2000-09-01,2000,09,01,13.8
2000-09-02,2000,09,02,20.6
2000-09-03,2000,09,03,21.8
2000-09-04,2000,09,04,32.7
2000-09-05,2000,09,05,21.2
2000-09-06,2000,09,06,16.8
2000-09-07,2000,09,07,26.7
2000-09-08,2000,09,08,17.6
2000-09-09,2000,09,09,19.9
2000-09-10,2000,09,10,22.2
2000-09-11,2000,09,11,30
2000-09-12,2000,09,12,18.5
2000-09-13,2000,09,13,19.4
2000-09-14,2000,09,14,17.9
2000-09-15,2000,09,15,18.4
2000-09-16,2000,09,16,15.5
2000-09-17,2000,09,17,16.8
2000-09-18,2000,09,18,9.8
2000-09-19,2000,09,19,18.9
2000-09-20,2000,09,20,12.5
2000-09-21,2000,09,21,22.1
2000-09-22,2000,09,22,17.5
2000-09-23,2000,09,23,19.3
2000-09-24,2000,09,24,18.3
2000-09-25,2000,09,25,13
2000-09-26,2000,09,26,18.1
2000-09-27,2000,09,27,13.5
2000-09-28,2000,09,28,14.6
2000-09-29,2000,09,29,15.1
2000-09-30,2000,09,30,20.3
2000-10-01,2000,10,01,17.2
2000-10-02,2000,10,02,16.6
2000-10-03,2000,10,03,24.3
2000-10-04,2000,10,04,18.5
2000-10-05,2000,10,05,14.9
2000-10-06,2000,10,06,20.3
2000-10-07,2000,10,07,16.1
2000-10-08,2000,10,08,16.2
2000-10-09,2000,10,09,8.4
2000-10-10,2000,10,10,7.9
2000-10-11,2000,10,11,11.8
2000-10-12,2000,10,12,20.8
2000-10-13,2000,10,13,27.2
2000-10-14,2000,10,14,16.7
2000-10-15,2000,10,15,25.1
2000-10-16,2000,10,16,19.3
2000-10-17,2000,10,17,17.1
2000-10-18,2000,10,18,19.2
2000-10-19,2000,10,19,19.6
2000-10-20,2000,10,20,23.4
2000-10-21,2000,10,21,18.5
2000-10-22,2000,10,22,19.6
2000-10-23,2000,10,23,12.7
2000-10-24,2000,10,24,15.8
2000-10-25,2000,10,25,14.6
2000-10-26,2000,10,26,15.7
2000-10-27,2000,10,27,NA
2000-10-28,2000,10,28,NA
2000-10-29,2000,10,29,NA
2000-10-30,2000,10,30,NA
2000-10-31,2000,10,31,NA
2000-11-01,2000,11,01,NA
2000-11-02,2000,11,02,NA
2000-11-03,2000,11,03,NA
2000-11-04,2000,11,04,NA
2000-11-05,2000,11,05,NA
2000-11-06,2000,11,06,NA
2000-11-07,2000,11,07,NA
2000-11-08,2000,11,08,NA
2000-11-09,2000,11,09,NA
2000-11-10,2000,11,10,NA
2000-11-11,2000,11,11,NA
2000-11-12,2000,11,12,NA
2000-11-13,2000,11,13,NA
2000-11-14,2000,11,14,NA
2000-11-15,2000,11,15,NA
2000-11-16,2000,11,16,NA
2000-11-17,2000,11,17,NA
2000-11-18,2000,11,18,NA
2000-11-19,2000,11,19,NA
2000-11-20,2000,11,20,NA
2000-11-21,2000,11,21,NA
2000-11-22,2000,11,22,NA
2000-11-23,2000,11,23,NA
2000-11-24,2000,11,24,NA
2000-11-25,2000,11,25,NA
2000-11-26,2000,11,26,NA
2000-11-27,2000,11,27,NA
2000-11-28,2000,11,28,NA
2000-11-29,2000,11,29,NA
2000-11-30,2000,11,30,NA
2000-12-01,2000,12,01,NA
2000-12-02,2000,12,02,NA
2000-12-03,2000,12,03,NA
2000-12-04,2000,12,04,NA
2000-12-05,2000,12,05,NA
2000-12-06,2000,12,06,NA
2000-12-07,2000,12,07,NA
2000-12-08,2000,12,08,NA
2000-12-09,2000,12,09,NA
2000-12-10,2000,12,10,NA
2000-12-11,2000,12,11,NA
2000-12-12,2000,12,12,NA
2000-12-13,2000,12,13,NA
2000-12-14,2000,12,14,NA
2000-12-15,2000,12,15,NA
2000-12-16,2000,12,16,NA
2000-12-17,2000,12,17,NA
2000-12-18,2000,12,18,NA
2000-12-19,2000,12,19,NA
2000-12-20,2000,12,20,NA
2000-12-21,2000,12,21,NA
2000-12-22,2000,12,22,NA
2000-12-23,2000,12,23,NA
2000-12-24,2000,12,24,NA
2000-12-25,2000,12,25,NA
2000-12-26,2000,12,26,NA
2000-12-27,2000,12,27,NA
2000-12-28,2000,12,28,NA
2000-12-29,2000,12,29,NA
2000-12-30,2000,12,30,NA
2000-12-31,2000,12,31,NA
2001-01-01,2001,01,01,NA
2001-01-02,2001,01,02,NA
2001-01-03,2001,01,03,NA
2001-01-04,2001,01,04,NA
2001-01-05,2001,01,05,NA
2001-01-06,2001,01,06,NA
2001-01-07,2001,01,07,NA
2001-01-08,2001,01,08,NA
2001-01-09,2001,01,09,NA
2001-01-10,2001,01,10,NA
2001-01-11,2001,01,11,NA
2001-01-12,2001,01,12,NA
2001-01-13,2001,01,13,NA
2001-01-14,2001,01,14,NA
2001-01-15,2001,01,15,NA
2001-01-16,2001,01,16,NA
2001-01-17,2001,01,17,NA
2001-01-18,2001,01,18,NA
2001-01-19,2001,01,19,NA
2001-01-20,2001,01,20,NA
2001-01-21,2001,01,21,NA
2001-01-22,2001,01,22,NA
2001-01-23,2001,01,23,NA
2001-01-24,2001,01,24,NA
2001-01-25,2001,01,25,NA
2001-01-26,2001,01,26,NA
2001-01-27,2001,01,27,NA
2001-01-28,2001,01,28,NA
2001-01-29,2001,01,29,NA
2001-01-30,2001,01,30,NA
2001-01-31,2001,01,31,NA
2001-02-01,2001,02,01,NA
2001-02-02,2001,02,02,NA
2001-02-03,2001,02,03,NA
2001-02-04,2001,02,04,NA
2001-02-05,2001,02,05,NA
2001-02-06,2001,02,06,NA
2001-02-07,2001,02,07,NA
2001-02-08,2001,02,08,NA
2001-02-09,2001,02,09,NA
2001-02-10,2001,02,10,NA
2001-02-11,2001,02,11,NA
2001-02-12,2001,02,12,NA
2001-02-13,2001,02,13,NA
2001-02-14,2001,02,14,NA
2001-02-15,2001,02,15,NA
2001-02-16,2001,02,16,NA
2001-02-17,2001,02,17,NA
2001-02-18,2001,02,18,NA
2001-02-19,2001,02,19,NA
2001-02-20,2001,02,20,NA
2001-02-21,2001,02,21,NA
2001-02-22,2001,02,22,NA
2001-02-23,2001,02,23,NA
2001-02-24,2001,02,24,NA
2001-02-25,2001,02,25,NA
2001-02-26,2001,02,26,NA
2001-02-27,2001,02,27,NA
2001-02-28,2001,02,28,NA
2001-03-01,2001,03,01,NA
2001-03-02,2001,03,02,NA
2001-03-03,2001,03,03,NA
2001-03-04,2001,03,04,NA
2001-03-05,2001,03,05,NA
2001-03-06,2001,03,06,NA
2001-03-07,2001,03,07,NA
2001-03-08,2001,03,08,NA
2001-03-09,2001,03,09,NA
2001-03-10,2001,03,10,NA
2001-03-11,2001,03,11,NA
2001-03-12,2001,03,12,NA
2001-03-13,2001,03,13,NA
2001-03-14,2001,03,14,NA
2001-03-15,2001,03,15,NA
2001-03-16,2001,03,16,NA
2001-03-17,2001,03,17,NA
2001-03-18,2001,03,18,NA
2001-03-19,2001,03,19,NA
2001-03-20,2001,03,20,NA
2001-03-21,2001,03,21,NA
2001-03-22,2001,03,22,NA
2001-03-23,2001,03,23,NA
2001-03-24,2001,03,24,NA
2001-03-25,2001,03,25,NA
2001-03-26,2001,03,26,NA
2001-03-27,2001,03,27,NA
2001-03-28,2001,03,28,NA
2001-03-29,2001,03,29,NA
2001-03-30,2001,03,30,NA
2001-03-31,2001,03,31,NA
2001-04-01,2001,04,01,NA
2001-04-02,2001,04,02,NA
2001-04-03,2001,04,03,NA
2001-04-04,2001,04,04,NA
2001-04-05,2001,04,05,NA
2001-04-06,2001,04,06,NA
2001-04-07,2001,04,07,NA
2001-04-08,2001,04,08,NA
2001-04-09,2001,04,09,NA
2001-04-10,2001,04,10,NA
2001-04-11,2001,04,11,NA
2001-04-12,2001,04,12,NA
2001-04-13,2001,04,13,NA
2001-04-14,2001,04,14,NA
2001-04-15,2001,04,15,NA
2001-04-16,2001,04,16,NA
2001-04-17,2001,04,17,NA
2001-04-18,2001,04,18,NA
2001-04-19,2001,04,19,NA
2001-04-20,2001,04,20,NA
2001-04-21,2001,04,21,NA
2001-04-22,2001,04,22,NA
2001-04-23,2001,04,23,NA
2001-04-24,2001,04,24,NA
2001-04-25,2001,04,25,NA
2001-04-26,2001,04,26,NA
2001-04-27,2001,04,27,NA
2001-04-28,2001,04,28,NA
2001-04-29,2001,04,29,NA
2001-04-30,2001,04,30,NA
2001-05-01,2001,05,01,NA
2001-05-02,2001,05,02,NA
2001-05-03,2001,05,03,NA
2001-05-04,2001,05,04,NA
2001-05-05,2001,05,05,NA
2001-05-06,2001,05,06,NA
2001-05-07,2001,05,07,NA
2001-05-08,2001,05,08,NA
2001-05-09,2001,05,09,32.2
2001-05-10,2001,05,10,46.5
2001-05-11,2001,05,11,43.9
2001-05-12,2001,05,12,24.1
2001-05-13,2001,05,13,25.7
2001-05-14,2001,05,14,37.3
2001-05-15,2001,05,15,24.5
2001-05-16,2001,05,16,10
2001-05-17,2001,05,17,8.7
2001-05-18,2001,05,18,16.8
2001-05-19,2001,05,19,19.1
2001-05-20,2001,05,20,21.8
2001-05-21,2001,05,21,19.6
2001-05-22,2001,05,22,17.1
2001-05-23,2001,05,23,25.5
2001-05-24,2001,05,24,30.9
2001-05-25,2001,05,25,36.6
2001-05-26,2001,05,26,30.9
2001-05-27,2001,05,27,16
2001-05-28,2001,05,28,17.5
2001-05-29,2001,05,29,21.1
2001-05-30,2001,05,30,25.1
2001-05-31,2001,05,31,19.8
2001-06-01,2001,06,01,19.2
2001-06-02,2001,06,02,19.8
2001-06-03,2001,06,03,16.2
2001-06-04,2001,06,04,21.1
2001-06-05,2001,06,05,27.2
2001-06-06,2001,06,06,19.4
2001-06-07,2001,06,07,13.6
2001-06-08,2001,06,08,22.4
2001-06-09,2001,06,09,22.8
2001-06-10,2001,06,10,17.8
2001-06-11,2001,06,11,22.4
2001-06-12,2001,06,12,20.9
2001-06-13,2001,06,13,25.3
2001-06-14,2001,06,14,23.2
2001-06-15,2001,06,15,21.5
2001-06-16,2001,06,16,13.2
2001-06-17,2001,06,17,21
2001-06-18,2001,06,18,23
2001-06-19,2001,06,19,24.9
2001-06-20,2001,06,20,22.5
2001-06-21,2001,06,21,24.9
2001-06-22,2001,06,22,26.9
2001-06-23,2001,06,23,22.8
2001-06-24,2001,06,24,36.8
2001-06-25,2001,06,25,41.5
2001-06-26,2001,06,26,36.7
2001-06-27,2001,06,27,27.8
2001-06-28,2001,06,28,21.4
2001-06-29,2001,06,29,21.2
2001-06-30,2001,06,30,15.5
2001-07-01,2001,07,01,24.2
2001-07-02,2001,07,02,27.6
2001-07-03,2001,07,03,33.3
2001-07-04,2001,07,04,42.8
2001-07-05,2001,07,05,41.7
2001-07-06,2001,07,06,24.1
2001-07-07,2001,07,07,33.3
2001-07-08,2001,07,08,15.7
2001-07-09,2001,07,09,17.8
2001-07-10,2001,07,10,12.8
2001-07-11,2001,07,11,27
2001-07-12,2001,07,12,15.7
2001-07-13,2001,07,13,15.1
2001-07-14,2001,07,14,18.4
2001-07-15,2001,07,15,12.2
2001-07-16,2001,07,16,18.4
2001-07-17,2001,07,17,18.9
2001-07-18,2001,07,18,NA
2001-07-19,2001,07,19,NA
2001-07-20,2001,07,20,16.6
2001-07-21,2001,07,21,11.6
2001-07-22,2001,07,22,17.3
2001-07-23,2001,07,23,20.8
2001-07-24,2001,07,24,26.4
2001-07-25,2001,07,25,25.6
2001-07-26,2001,07,26,31.1
2001-07-27,2001,07,27,40.8
2001-07-28,2001,07,28,38.1
2001-07-29,2001,07,29,33
2001-07-30,2001,07,30,29.6
2001-07-31,2001,07,31,31
2001-08-01,2001,08,01,20.1
2001-08-02,2001,08,02,34.9
2001-08-03,2001,08,03,19.8
2001-08-04,2001,08,04,12.6
2001-08-05,2001,08,05,11
2001-08-06,2001,08,06,15.5
2001-08-07,2001,08,07,14.8
2001-08-08,2001,08,08,15.5
2001-08-09,2001,08,09,23.3
2001-08-10,2001,08,10,12.8
2001-08-11,2001,08,11,NA
2001-08-12,2001,08,12,NA
2001-08-13,2001,08,13,19.4
2001-08-14,2001,08,14,19.5
2001-08-15,2001,08,15,29.4
2001-08-16,2001,08,16,13.2
2001-08-17,2001,08,17,13.4
2001-08-18,2001,08,18,24.4
2001-08-19,2001,08,19,14.3
2001-08-20,2001,08,20,17.7
2001-08-21,2001,08,21,24.2
2001-08-22,2001,08,22,26.3
2001-08-23,2001,08,23,55.3
2001-08-24,2001,08,24,33
2001-08-25,2001,08,25,35
2001-08-26,2001,08,26,37
2001-08-27,2001,08,27,14.2
2001-08-28,2001,08,28,23
2001-08-29,2001,08,29,31.7
2001-08-30,2001,08,30,32
2001-08-31,2001,08,31,17.1
2001-09-01,2001,09,01,14.7
2001-09-02,2001,09,02,13.8
2001-09-03,2001,09,03,10.6
2001-09-04,2001,09,04,17.1
2001-09-05,2001,09,05,21.8
2001-09-06,2001,09,06,16.5
2001-09-07,2001,09,07,31.7
2001-09-08,2001,09,08,13.1
2001-09-09,2001,09,09,13
2001-09-10,2001,09,10,28.7
2001-09-11,2001,09,11,34.5
2001-09-12,2001,09,12,22.8
2001-09-13,2001,09,13,13.1
2001-09-14,2001,09,14,18.1
2001-09-15,2001,09,15,NA
2001-09-16,2001,09,16,NA
2001-09-17,2001,09,17,17.1
2001-09-18,2001,09,18,17.9
2001-09-19,2001,09,19,15.1
2001-09-20,2001,09,20,26.3
2001-09-21,2001,09,21,29.7
2001-09-22,2001,09,22,29.8
2001-09-23,2001,09,23,19.4
2001-09-24,2001,09,24,24.7
2001-09-25,2001,09,25,35.5
2001-09-26,2001,09,26,19.7
2001-09-27,2001,09,27,17.8
2001-09-28,2001,09,28,21.3
2001-09-29,2001,09,29,18
2001-09-30,2001,09,30,14.8
2001-10-01,2001,10,01,NA
2001-10-02,2001,10,02,15.1
2001-10-03,2001,10,03,18.5
2001-10-04,2001,10,04,16.8
2001-10-05,2001,10,05,14.8
2001-10-06,2001,10,06,17.3
2001-10-07,2001,10,07,12.7
2001-10-08,2001,10,08,16.4
2001-10-09,2001,10,09,17.3
2001-10-10,2001,10,10,19.6
2001-10-11,2001,10,11,15.5
2001-10-12,2001,10,12,25.9
2001-10-13,2001,10,13,57.2
2001-10-14,2001,10,14,36
2001-10-15,2001,10,15,19.3
2001-10-16,2001,10,16,18.5
2001-10-17,2001,10,17,24.3
2001-10-18,2001,10,18,22.5
2001-10-19,2001,10,19,25.2
2001-10-20,2001,10,20,NA
2001-10-21,2001,10,21,NA
2001-10-22,2001,10,22,NA
2001-10-23,2001,10,23,NA
2001-10-24,2001,10,24,NA
2001-10-25,2001,10,25,NA
2001-10-26,2001,10,26,NA
2001-10-27,2001,10,27,NA
2001-10-28,2001,10,28,NA
2001-10-29,2001,10,29,NA
2001-10-30,2001,10,30,NA
2001-10-31,2001,10,31,16.3
2001-11-01,2001,11,01,33.5
2001-11-02,2001,11,02,42.2
2001-11-03,2001,11,03,58.2
2001-11-04,2001,11,04,45.9
2001-11-05,2001,11,05,29
2001-11-06,2001,11,06,18.7
2001-11-07,2001,11,07,8.9
2001-11-08,2001,11,08,9.8
2001-11-09,2001,11,09,20
2001-11-10,2001,11,10,24.6
2001-11-11,2001,11,11,23.6
2001-11-12,2001,11,12,20.6
2001-11-13,2001,11,13,17.2
2001-11-14,2001,11,14,32.3
2001-11-15,2001,11,15,42.6
2001-11-16,2001,11,16,36.8
2001-11-17,2001,11,17,20.8
2001-11-18,2001,11,18,14.3
2001-11-19,2001,11,19,41.7
2001-11-20,2001,11,20,30.7
2001-11-21,2001,11,21,17.1
2001-11-22,2001,11,22,17.7
2001-11-23,2001,11,23,25.4
2001-11-24,2001,11,24,21
2001-11-25,2001,11,25,10.8
2001-11-26,2001,11,26,28.4
2001-11-27,2001,11,27,16
2001-11-28,2001,11,28,19.1
2001-11-29,2001,11,29,11
2001-11-30,2001,11,30,10.2
2001-12-01,2001,12,01,9
2001-12-02,2001,12,02,31.5
2001-12-03,2001,12,03,22.8
2001-12-04,2001,12,04,15.3
2001-12-05,2001,12,05,12
2001-12-06,2001,12,06,22.7
2001-12-07,2001,12,07,21.5
2001-12-08,2001,12,08,48.9
2001-12-09,2001,12,09,26.4
2001-12-10,2001,12,10,36.8
2001-12-11,2001,12,11,21.2
2001-12-12,2001,12,12,25.7
2001-12-13,2001,12,13,19.7
2001-12-14,2001,12,14,32.8
2001-12-15,2001,12,15,24.3
2001-12-16,2001,12,16,20.7
2001-12-17,2001,12,17,22.2
2001-12-18,2001,12,18,25.7
2001-12-19,2001,12,19,22.5
2001-12-20,2001,12,20,24.4
2001-12-21,2001,12,21,12.3
2001-12-22,2001,12,22,14.8
2001-12-23,2001,12,23,15.9
2001-12-24,2001,12,24,9.7
2001-12-25,2001,12,25,NA
2001-12-26,2001,12,26,NA
2001-12-27,2001,12,27,NA
2001-12-28,2001,12,28,16
2001-12-29,2001,12,29,10.9
2001-12-30,2001,12,30,NA
2001-12-31,2001,12,31,NA
2002-01-01,2002,01,01,44.5
2002-01-02,2002,01,02,20.7
2002-01-03,2002,01,03,21.2
2002-01-04,2002,01,04,28.3
2002-01-05,2002,01,05,29.5
2002-01-06,2002,01,06,20
2002-01-07,2002,01,07,19.1
2002-01-08,2002,01,08,24.4
2002-01-09,2002,01,09,37.9
2002-01-10,2002,01,10,NA
2002-01-11,2002,01,11,NA
2002-01-12,2002,01,12,17.4
2002-01-13,2002,01,13,27.6
2002-01-14,2002,01,14,17.6
2002-01-15,2002,01,15,19.5
2002-01-16,2002,01,16,21
2002-01-17,2002,01,17,15
2002-01-18,2002,01,18,17.5
2002-01-19,2002,01,19,18.8
2002-01-20,2002,01,20,17.6
2002-01-21,2002,01,21,19.7
2002-01-22,2002,01,22,17.1
2002-01-23,2002,01,23,17.8
2002-01-24,2002,01,24,17.9
2002-01-25,2002,01,25,15.4
2002-01-26,2002,01,26,12.8
2002-01-27,2002,01,27,15.4
2002-01-28,2002,01,28,22
2002-01-29,2002,01,29,25.8
2002-01-30,2002,01,30,19.3
2002-01-31,2002,01,31,17.1
2002-02-01,2002,02,01,23.9
2002-02-02,2002,02,02,21.6
2002-02-03,2002,02,03,19
2002-02-04,2002,02,04,12.4
2002-02-05,2002,02,05,14.7
2002-02-06,2002,02,06,17.6
2002-02-07,2002,02,07,17.3
2002-02-08,2002,02,08,15.4
2002-02-09,2002,02,09,12.3
2002-02-10,2002,02,10,18.9
2002-02-11,2002,02,11,12
2002-02-12,2002,02,12,20.2
2002-02-13,2002,02,13,23.2
2002-02-14,2002,02,14,21.4
2002-02-15,2002,02,15,30.3
2002-02-16,2002,02,16,21.7
2002-02-17,2002,02,17,24.4
2002-02-18,2002,02,18,20.2
2002-02-19,2002,02,19,14.5
2002-02-20,2002,02,20,15
2002-02-21,2002,02,21,18.4
2002-02-22,2002,02,22,12.4
2002-02-23,2002,02,23,15.7
2002-02-24,2002,02,24,17.7
2002-02-25,2002,02,25,11.9
2002-02-26,2002,02,26,11.4
2002-02-27,2002,02,27,7
2002-02-28,2002,02,28,15.1
2002-03-01,2002,03,01,29.9
2002-03-02,2002,03,02,20
2002-03-03,2002,03,03,22.2
2002-03-04,2002,03,04,23.5
